APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,SAULIUS,SKVERNELIS,,310,42,352,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,INGRIDA,ŠIMONYTĖ,,187,52,239,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,VYTENIS POVILAS,ANDRIUKAITIS,,62,16,78,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,ARVYDAS,JUOZAITIS,,62,9,71,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,MINDAUGAS,PUIDOKAS,,25,4,29,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,NAGLIS,PUTEIKIS,,9,1,10,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,VALENTINAS,MAZURONIS,,5,2,7,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,VALDEMAR,TOMAŠEVSKI,,5,0,5,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,SAULIUS,SKVERNELIS,,54,17,71,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,GITANAS,NAUSĖDA,,49,22,71,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
